track_id,track_name,track_number,track_popularity,track_duration_min,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type
67rW0Zl7oB3qEpD5YWWE5w,Still Get Like That (ft. Project Pat & Starrah),8,30,1.69615,True,Diplo,77.0,2813710.0,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album
7mdkjzoIYlf1rx9EtBpGmU,Hard 2 Find,1,4,2.5523666666666665,True,Riff Raff,48.0,193302.0,N/A,3E3zEAL8gUYWaLYB9L7gbp,Hard 2 Find,2025-10-31,1,single
1oQW6G2ZiwMuHqlPpP27DB,OMG!,1,0,3.0763666666666665,True,Yelawolf,64.0,2363438.0,"country hip hop, southern hip hop",4SUmmwnv0xTjRcLdjczGg2,OMG!,2025-10-31,1,single
3EJS5LyekDim1Tf5rBFmZl,Trippy Mane (ft. Project Pat),4,0,1.5597333333333334,True,Diplo,77.0,2812821.0,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album
4ccpCcZYseq8VrPMK1EDs0,BLEED,1,2,2.76105,False,Minzie,46.0,7218.0,dark r&b,2NQv9p3ZQW0Ed1LB9enix8,BLEED,2025-10-30,3,single
4pZ949nFW5SurwzE0TSe7I,Cupido Vagabundo,1,16,2.9230666666666667,False,Toni dos Anjos,6.0,475.0,N/A,60DLQZkzpvDvVfvEC6VOJM,Cupido Vagabundo,2025-10-30,2,single
3QoQ3HqXTAjgEl9LbNMbYp,Te Procuro na Cidade,1,20,4.12315,False,AZERDK,30.0,1657.0,N/A,1PpuOsLjPWshDLxkr0oHeU,Te Procuro na Cidade,2025-10-30,1,single
15xptTfRBrjsppW0INUZjf,ride me like a harley,2,0,2.3985666666666665,True,Rumelis,48.0,8682.0,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single
1YEZbdT417SfolPQzaoHs2,come closer,1,27,2.539066666666667,False,Rumelis,49.0,8802.0,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single
0L0LgwFZ7UtBnRNQvSBty6,LET’S GO!,1,33,2.4051833333333335,True,PsychoYP,48.0,154802.0,"nigerian drill, alté, afro adura, afrobeats, afrobeat, afroswing",3ARxksm8CspGeAaZZB1v2w,LET’S GO!,2025-10-28,1,single
